EpRewMean,loss_pol_entpen,EpThisIter,loss_ent,TimestepsSoFar,EpisodesSoFar,EpLenMean,ev_tdlam_before,loss_vf_loss,loss_kl,TimeElapsed,loss_pol_surr
-4.78,0.0,7,1.7715818,118784,193,627.17,0.8095972388982773,0.0140818255,0.008891287,835.9885058403015,-0.0074469037
-4.76,0.0,7,1.7364165,122880,200,631.79,0.8189741522073746,0.014247595,0.007500103,843.0381050109863,-0.007274251
-4.74,0.0,6,1.6728597,126976,206,637.04,0.7734840661287308,0.018888611,0.011555356,850.0255906581879,-0.0096513685
-4.74,0.0,5,1.7026405,131072,211,642.33,0.7434257864952087,0.017932821,0.007520882,857.0084545612335,-0.005004383
-4.76,0.0,7,1.6661007,135168,218,639.9,0.7770391404628754,0.017057799,0.007330134,864.0211956501007,-0.004158316
-4.77,0.0,7,1.6658267,139264,225,636.41,0.8138787597417831,0.014431802,0.008597588,871.0332996845245,-0.006484379
-4.8,0.0,7,1.6170797,143360,232,635.93,0.7887013703584671,0.017607208,0.007760224,878.1052882671356,-0.0073435074
-4.83,0.0,7,1.5959061,147456,239,630.7,0.8169527351856232,0.013009484,0.007301321,885.1072907447815,-0.0058048475
-4.83,0.0,6,1.594853,151552,245,637.23,0.8576641231775284,0.011093372,0.008202426,892.150532245636,-0.003428411
-4.83,0.0,8,1.6061646,155648,253,630.11,0.7772534191608429,0.015635803,0.009090707,899.1874961853027,-0.0063429605
-4.83,0.0,6,1.5591176,159744,259,634.99,0.7972790002822876,0.013514881,0.0067128176,906.2739050388336,-0.0050369706
-4.85,0.0,6,1.6210682,163840,265,627.31,0.7602468878030777,0.012927355,0.006728187,913.3872520923615,-0.0024077762
-4.86,0.0,7,1.6419463,167936,272,624.98,0.8000160306692123,0.012470394,0.0073206183,920.4055736064911,-0.0048023965
-4.88,0.0,7,1.6711234,172032,279,619.63,0.8181833028793335,0.013207654,0.007329627,927.4240131378174,-0.005128285
-4.86,0.0,8,1.6486764,176128,287,613.47,0.790299728512764,0.016225826,0.006026212,934.6041707992554,-0.0040313415
-4.84,0.0,6,1.6117893,180224,293,614.99,0.780059278011322,0.017425308,0.006506813,941.6746535301208,-0.003487194
-4.85,0.0,7,1.655493,184320,300,613.17,0.786124661564827,0.01723574,0.007270314,948.7376224994659,-0.0055299667
-4.88,0.0,7,1.6411822,188416,307,606.43,0.8330417573451996,0.012479033,0.0061561014,955.777599811554,-0.005887174
-4.88,0.0,6,1.6447898,192512,313,604.35,0.7891027331352234,0.012623979,0.0071343603,962.9645118713379,-0.0057655573
-4.89,0.0,7,1.666061,196608,320,603.42,0.7795005738735199,0.0142286,0.005222022,969.989618062973,-0.008164002
-4.88,0.0,5,1.6927662,200704,325,616.22,0.7428379654884338,0.017359758,0.006843915,1605.6900222301483,-0.007369015
-4.88,0.0,5,1.6868565,204800,330,622.39,0.7473441064357758,0.017054958,0.007208481,1612.7228453159332,-0.008728424
-4.88,0.0,7,1.6592396,208896,337,625.86,0.8127325028181076,0.0128700845,0.006930099,1619.7376959323883,-0.0094044395
-4.88,0.0,7,1.647509,212992,344,620.42,0.8206075131893158,0.011389573,0.0065233996,1626.7492752075195,-0.008151742
-4.88,0.0,6,1.5980554,217088,350,627.72,0.7822497636079788,0.01138624,0.0062637986,1633.7846455574036,-0.008471722
-4.9,0.0,5,1.5863025,221184,355,632.38,0.804628312587738,0.01180488,0.0068327636,1640.796044588089,-0.010633234
-4.9,0.0,6,1.5801635,225280,361,640.47,0.7817241698503494,0.013813652,0.005979178,1648.2742972373962,-0.006830816
-4.91,0.0,6,1.5561849,229376,367,639.31,0.7792852371931076,0.012346536,0.005885661,1655.5201132297516,-0.0064231167
-4.91,0.0,7,1.5443003,233472,374,645.39,0.8025378286838531,0.01165344,0.008848042,1662.5589473247528,-0.002906539
-4.9,0.0,6,1.5525458,237568,380,649.69,0.7809365540742874,0.015341154,0.007282515,1669.6213359832764,-0.0048646377
-4.89,0.0,6,1.5509348,241664,386,660.29,0.7741037756204605,0.014864804,0.007499926,1676.6239109039307,-0.008769702
-4.91,0.0,6,1.5725552,245760,392,661.46,0.7829534262418747,0.014216211,0.009147473,1683.7096438407898,-0.01026015
-4.91,0.0,7,1.5477115,249856,399,664.31,0.8139345198869705,0.01332878,0.009000272,1690.7600009441376,-0.007366415
-4.89,0.0,6,1.5426803,253952,405,665.31,0.790551945567131,0.013316473,0.0072536743,1697.7873075008392,-0.005695129
-4.89,0.0,7,1.5291256,258048,412,662.2,0.8177258372306824,0.01212777,0.0098013915,1704.8082604408264,-0.0031536436
-4.89,0.0,6,1.519125,262144,418,662.83,0.8306748867034912,0.0133376755,0.007921279,1711.8228583335876,-0.0025046975
-4.89,0.0,7,1.5320638,266240,425,656.66,0.7849614918231964,0.016579079,0.008078403,1718.8570628166199,-0.0048032845
-4.89,0.0,5,1.5077378,270336,430,658.64,0.7903265208005905,0.012793424,0.0074805403,1726.041222333908,-0.008492611
-4.88,0.0,7,1.5703543,274432,437,655.8,0.7849861979484558,0.016774638,0.010747322,1733.075884103775,-0.0080500385
-4.87,0.0,6,1.5524572,278528,443,659.99,0.8019596934318542,0.013351143,0.00964571,1740.0729806423187,-0.0058414657
-4.86,0.0,7,1.536916,282624,450,657.4,0.8329243957996368,0.011608372,0.008256396,1747.1055295467377,-0.005738341
-4.84,0.0,4,1.4786403,286720,454,662.74,0.7882887274026871,0.01187561,0.008862994,1754.2076330184937,-0.008146543
-4.82,0.0,6,1.4981298,290816,460,664.72,0.7953275889158249,0.014999725,0.009119603,1761.3077454566956,-0.0037048324
-4.83,0.0,6,1.4926021,294912,466,665.2,0.806610494852066,0.012160979,0.00819887,1768.7073442935944,-0.0068826214
-4.83,0.0,5,1.4957274,299008,471,667.45,0.7765176594257355,0.012844971,0.008050267,1775.7331812381744,-0.0043038325
-4.81,0.0,5,1.4992006,303104,476,684.77,0.8538851290941238,0.012445434,0.009300766,2515.4334161281586,-0.008564058
-4.84,0.0,6,1.4830474,307200,482,681.84,0.7846956700086594,0.0126521895,0.00909986,2522.421206474304,-0.007029223
-4.85,0.0,7,1.4782046,311296,489,674.62,0.8213857561349869,0.010656673,0.008166945,2529.465547800064,-0.0072539723
-4.83,0.0,5,1.4618299,315392,494,682.32,0.7492525279521942,0.013543388,0.009062761,2536.4550371170044,-0.008594001
-4.81,0.0,5,1.4379746,319488,499,691.25,0.7672177106142044,0.013648293,0.0072428407,2543.564815044403,-0.008056409
-4.84,0.0,6,1.4131949,323584,505,692.99,0.7914490252733231,0.010519232,0.009394577,2550.621210336685,-0.0046803993
-4.82,0.0,5,1.3861488,327680,510,706.04,0.7522082626819611,0.013561465,0.0074674604,2557.73947930336,-0.0046728197
-4.81,0.0,6,1.3777016,331776,516,709.29,0.806233286857605,0.011608632,0.008908789,2564.7497787475586,-0.005915369
-4.81,0.0,5,1.3615237,335872,521,714.9,0.8102556318044662,0.0120396055,0.009740732,2571.7676606178284,-0.00669966
-4.83,0.0,7,1.3908336,339968,528,710.34,0.766974925994873,0.015554163,0.009463969,2578.7816486358643,-0.0048347916
-4.82,0.0,4,1.315655,344064,532,721.61,0.742420494556427,0.0132312495,0.010349306,2585.794183731079,-0.007381067
-4.83,0.0,6,1.3301346,348160,538,729.22,0.7664294987916946,0.011654064,0.0076722414,2593.3160343170166,-0.0038921142
-4.82,0.0,5,1.3111404,352256,543,737.9,0.7764199376106262,0.012926692,0.008764486,2600.8839366436005,-0.0060530645
-4.83,0.0,6,1.3173178,356352,549,744.56,0.8117354065179825,0.01045137,0.008767765,2608.461745738983,-0.0030606498
-4.84,0.0,5,1.3055985,360448,554,736.55,0.7887076288461685,0.013317851,0.008183134,2615.982182741165,-0.0019360152
-4.85,0.0,5,1.332559,364544,559,742.81,0.8140963912010193,0.010432724,0.008116594,2623.4474115371704,-0.0032232476
-4.83,0.0,5,1.2764201,368640,564,747.63,0.8021408170461655,0.012978954,0.0089657605,2630.4691836833954,-0.005032129
-4.83,0.0,5,1.3153716,372736,569,753.05,0.7971371710300446,0.011301171,0.009803105,2637.458771467209,-0.0038610962
-4.85,0.0,6,1.3071792,376832,575,747.23,0.7975709587335587,0.010563168,0.010372179,2644.4671013355255,-0.007227481
-4.84,0.0,4,1.2992032,380928,579,754.75,0.7793263345956802,0.0123287495,0.009095393,2651.471003293991,-0.006169337
-4.83,0.0,5,1.2678314,385024,584,767.57,0.7898693829774857,0.011768869,0.008528589,2658.4921798706055,-0.0068701208
-4.83,0.0,5,1.2344753,389120,589,776.21,0.775905191898346,0.01210939,0.009968198,2665.510429620743,-0.0073059155
-4.84,0.0,6,1.229491,393216,595,776.48,0.759810596704483,0.015799865,0.009877229,2672.5035479068756,-0.007901119
-4.85,0.0,5,1.216692,397312,600,773.71,0.7867030501365662,0.01153779,0.008770991,2679.5067398548126,-0.0053806696
-4.83,0.0,4,1.1808726,401408,604,783.74,0.7351106405258179,0.015006554,0.008476076,3468.968806028366,-0.0027111117
-4.85,0.0,6,1.1812917,405504,610,778.19,0.7980109304189682,0.010841641,0.009290814,3476.1000695228577,-0.004216631
-4.86,0.0,5,1.1640993,409600,615,787.75,0.7803103178739548,0.010757916,0.009700095,3483.098007917404,-0.0038348897
-4.86,0.0,5,1.1904806,413696,620,794.93,0.7220947444438934,0.012624711,0.011199757,3490.106569290161,-0.0047657285
-4.86,0.0,5,1.1480947,417792,625,793.98,0.7948789149522781,0.011246743,0.010136416,3497.136646270752,-0.0032151155
-4.87,0.0,5,1.160928,421888,630,795.98,0.7604108452796936,0.0096508,0.010817452,3504.204852104187,-0.00181088
-4.86,0.0,5,1.1558864,425984,635,796.31,0.7935911118984222,0.010826203,0.010707946,3511.2463958263397,-0.0056668576
-4.85,0.0,5,1.1149857,430080,640,801.54,0.7913397997617722,0.012020603,0.009321176,3518.284385919571,-0.006744168
-4.86,0.0,4,1.1395203,434176,644,812.69,0.7541360557079315,0.011421428,0.011740217,3525.2986006736755,-0.005696963
-4.86,0.0,6,1.0959663,438272,650,812.63,0.8071771711111069,0.009406005,0.011084514,3532.4781160354614,-0.0065611247
-4.86,0.0,4,1.0426579,442368,654,819.1,0.77756567299366,0.013240045,0.011031383,3539.493103504181,-0.0041022734
-4.86,0.0,4,1.0669571,446464,658,826.92,0.72380730509758,0.012603645,0.011598716,3546.900815010071,-0.0024864464
-4.86,0.0,5,1.0408868,450560,663,831.58,0.7521887868642807,0.011645358,0.011254387,3554.3829741477966,-0.0036529717
-4.87,0.0,4,0.99494,454656,667,833.31,0.7271780669689178,0.013412247,0.01031585,3561.391266822815,-0.0033631804
-4.86,0.0,5,1.0129268,458752,672,837.9,0.6568683087825775,0.014308345,0.012773188,3568.4814953804016,-0.002228327
-4.86,0.0,4,0.9752696,462848,676,844.19,0.6881712973117828,0.010785711,0.011917663,3575.505276441574,-0.0020115562
-4.84,0.0,5,0.99640036,466944,681,845.88,0.6937083601951599,0.0127270445,0.010929523,3582.8828752040863,-0.004394984
-4.85,0.0,3,1.031751,471040,684,858.91,0.6738869845867157,0.010333247,0.011153764,3590.40239071846,-0.0037307478
-4.85,0.0,4,0.96350485,475136,688,869.04,0.6688119471073151,0.012881686,0.009592218,3597.9889738559723,-0.0017514904
-4.87,0.0,4,0.94204426,479232,692,881.04,0.7601433098316193,0.010428649,0.010944171,3605.1868760585785,-0.0025703516
-4.87,0.0,4,0.9398369,483328,696,894.13,0.7167293727397919,0.011300936,0.010693466,3612.1963670253754,-0.0014957931
-4.87,0.0,2,0.9397002,487424,698,913.29,0.5774890780448914,0.011786634,0.011428451,3619.440860748291,-0.004671628
-4.86,0.0,3,0.9211685,491520,701,932.27,0.6895839273929596,0.007031594,0.012049663,3626.48149061203,-0.0007160222
-4.88,0.0,3,0.9705602,495616,704,943.07,0.6306197345256805,0.01245113,0.011633743,3633.4988741874695,-0.004118466
-4.88,0.0,2,0.9497564,499712,706,959.95,0.6492396593093872,0.010442671,0.012256159,3640.5343222618103,-0.0034678713
-4.86,0.0,3,0.9655383,503808,709,989.84,0.5929204225540161,0.012034742,0.0134368995,4864.49640583992,-0.0018815987
