TimestepsSoFar,EpThisIter,EpisodesSoFar,meankl,entloss,optimgain,EpLenMean,TimeElapsed,entropy,explained_variance_tdlam_before,EpRewMean,surrgain
3885056,0,2524,0.0052831876,0.0,0.038862772,3053.825,54770.88209629059,0.79104775,-5.1730875968933105,-0.35,0.038862772
3886080,0,2524,0.008620794,0.0,0.028778033,3053.825,54771.51592326164,0.77440536,0.029030263423919678,-0.35,0.028778033
3887104,1,2525,0.005881194,0.0,0.04007477,3053.825,54772.188101768494,0.80005836,-14.866087913513184,-0.375,0.04007477
3888128,0,2525,0.0046457537,0.0,0.08051909,3053.825,54772.83078455925,0.7419894,-23.848644256591797,-0.375,0.08051909
3889152,0,2525,0.008405243,0.0,0.03196081,3053.825,54773.46529865265,0.7219294,-19.353866577148438,-0.375,0.03196081
3890176,1,2526,0.007401991,0.0,0.031446517,3053.825,54774.09652495384,0.8518284,-22.97503662109375,-0.35,0.031446517
3891200,0,2526,0.0045689857,0.0,0.04587722,3053.825,54774.72681450844,0.7393896,-10.378759384155273,-0.35,0.04587722
3892224,0,2526,0.004955087,0.0,0.048282683,3053.825,54775.35671210289,0.86076677,0.08585143089294434,-0.35,0.048282683
3893248,1,2527,0.004582389,0.0,0.039799523,3053.825,54775.986147880554,0.68911207,-1.551936149597168,-0.325,0.039799523
3894272,0,2527,0.0068131676,0.0,0.027456196,3053.825,54776.61854529381,0.83286405,-3.9953789710998535,-0.325,0.027456196
3895296,0,2527,0.0067587416,0.0,0.026188722,3053.825,54777.25096797943,0.8474562,-9.121830940246582,-0.325,0.026188722
3896320,1,2528,0.0066648354,0.0,0.027919251,3053.825,54777.88309931755,0.72831655,-17.28786277770996,-0.3,0.027919251
3897344,0,2528,0.004359847,0.0,0.018853156,3053.825,54778.51160788536,0.78644603,-16.696271896362305,-0.3,0.018853156
3898368,0,2528,0.010916902,0.0,0.033115756,3053.825,54779.140973329544,0.74545205,0.33423805236816406,-0.3,0.033115756
3899392,1,2529,0.007283345,0.0,0.08599043,3053.825,54779.76805758476,0.8132845,-1.697314739227295,-0.325,0.08599043
3900416,0,2529,0.0054195784,0.0,0.025553346,3053.825,56694.913864851,0.75520176,0.3413277268409729,-0.325,0.025553346
3901440,0,2529,0.004810889,0.0,0.01189257,3053.825,56695.61599802971,0.7186587,0.3493964672088623,-0.325,0.01189257
3902464,0,2529,0.0041542538,0.0,0.020217719,3053.825,56696.32233095169,0.7812499,-4.21027946472168,-0.325,0.020217719
3903488,1,2530,0.0049478854,0.0,0.017564649,3078.825,56696.99682021141,0.7447748,-5.799610137939453,-0.325,0.017564649
3904512,0,2530,0.010769058,0.0,0.042405006,3078.825,56697.63479471207,0.8428463,0.12446099519729614,-0.325,0.042405006
3905536,0,2530,0.0056421114,0.0,0.026448777,3078.825,56698.29077577591,0.81901515,-2.1354713439941406,-0.325,0.026448777
3906560,1,2531,0.005034323,0.0,0.032889728,3078.825,56698.94598317146,0.7461966,0.5940783023834229,-0.35,0.032889728
3907584,0,2531,0.011715263,0.0,0.016099378,3078.825,56699.600064992905,0.7436471,0.39239299297332764,-0.35,0.016099378
3908608,0,2531,0.0063896365,0.0,0.018522697,3078.825,56700.25376844406,0.77030605,-5.517239093780518,-0.35,0.018522697
3909632,1,2532,0.0087615885,0.0,0.035417937,3078.825,56700.91001224518,0.6614892,0.13447719812393188,-0.35,0.035417937
3910656,0,2532,0.007514006,0.0,0.088321164,3078.825,56701.56485080719,0.71706855,0.4431071877479553,-0.35,0.088321164
3911680,0,2532,0.007945785,0.0,0.026370239,3078.825,56702.22034192085,0.8472233,0.35487431287765503,-0.35,0.026370239
3912704,1,2533,0.005760837,0.0,0.032084733,3078.825,56702.93487882614,0.7317459,0.596637487411499,-0.325,0.032084733
3913728,0,2533,0.008013647,0.0,0.04228306,3078.825,56703.61840772629,0.72145414,0.40431076288223267,-0.325,0.04228306
3914752,0,2533,0.004464128,0.0,0.028371599,3078.825,56704.25288319588,0.6880548,0.2344014048576355,-0.325,0.028371599
3915776,1,2534,0.013441228,0.0,0.059625782,3078.825,56704.88517379761,0.7855178,0.3254331946372986,-0.325,0.059625782
3916800,0,2534,0.009647166,0.0,0.036662057,3078.825,56705.51996469498,0.67862123,0.4356152415275574,-0.325,0.036662057
3917824,1,2535,0.0062692594,0.0,0.04016165,3062.625,56706.15506529808,0.697731,0.3417562246322632,-0.45,0.04016165
