EpLenMean,TimestepsSoFar,EpisodesSoFar,TimeElapsed,EpThisIter,loss_vf_loss,loss_pol_entpen,loss_pol_surr,loss_ent,EpRewMean,loss_kl,ev_tdlam_before
654.54,5206016,7827,18752.006427288055,7,0.020822356,0.0,-0.015192404,0.24178955,0.07,0.005703899,0.9294265881180763
648.77,5210112,7833,18761.22750043869,6,0.014687992,0.0,-0.01693541,0.24808541,-0.08,0.0057694856,0.947075143456459
649.65,5214208,7840,18770.412706136703,7,0.018207546,0.0,-0.017333059,0.25452888,-0.12,0.006569364,0.9352102279663086
653.05,5218304,7846,18780.161427736282,6,0.01665644,0.0,-0.016342804,0.25360933,-0.06,0.0056199096,0.942836981266737
650.88,5222400,7852,18789.382427692413,6,0.019190364,0.0,-0.01566871,0.25282076,0.0,0.0055058533,0.9454648420214653
653.96,5226496,7858,18798.594490766525,6,0.018477285,0.0,-0.013939359,0.24196857,-0.01,0.0050470647,0.9373105019330978
660.11,5230592,7864,18807.803438663483,6,0.020719942,0.0,-0.014897218,0.22588718,0.04,0.00554081,0.9343175068497658
656.3,5234688,7870,18817.334428071976,6,0.015286452,0.0,-0.014679867,0.25345877,0.0,0.0070429686,0.9490167908370495
661.46,5238784,7876,18826.55642771721,6,0.013163399,0.0,-0.016710155,0.2704198,-0.12,0.005944772,0.9359450116753578
662.19,5242880,7882,18835.797427415848,6,0.0154793775,0.0,-0.013545257,0.246906,-0.12,0.0053420113,0.9436551816761494
665.89,5246976,7888,18845.701503038406,6,0.017024588,0.0,-0.019032836,0.28122544,-0.01,0.0070189806,0.932481661438942
667.04,5251072,7894,18855.39342737198,6,0.017168773,0.0,-0.014907179,0.26780224,-0.02,0.0056844484,0.9385498687624931
668.69,5255168,7900,18865.116428375244,6,0.01911437,0.0,-0.01685622,0.2624084,-0.01,0.005819898,0.9338839575648308
669.89,5259264,7907,18874.81742811203,7,0.01766274,0.0,-0.016108818,0.25448352,-0.07,0.0056229606,0.9362456649541855
664.35,5263360,7914,18884.359427928925,7,0.01529185,0.0,-0.015719512,0.26637203,0.01,0.005582628,0.933809407055378
658.05,5267456,7920,18893.929427862167,6,0.01531328,0.0,-0.01840593,0.27026922,-0.17,0.0071324334,0.9308953955769539
656.76,5271552,7926,18903.736427783966,6,0.013932474,0.0,-0.014069866,0.27875593,-0.11,0.004866657,0.9454566538333893
658.77,5275648,7933,18913.80542755127,7,0.014502512,0.0,-0.016667798,0.26985133,0.04,0.0054697553,0.9376919791102409
660.31,5279744,7939,18923.350427865982,6,0.013543903,0.0,-0.013268001,0.24441954,-0.01,0.0066639436,0.930564396083355
659.16,5283840,7945,18932.824428081512,6,0.015391557,0.0,-0.016112728,0.272522,-0.18,0.005293421,0.9341464787721634
660.43,5287936,7951,18942.410464525223,6,0.015553978,0.0,-0.016758025,0.27743152,-0.13,0.00588373,0.9334614723920822
656.48,5292032,7958,18951.793427705765,7,0.018166637,0.0,-0.016784187,0.26218832,-0.25,0.0058201505,0.9396752491593361
651.28,5296128,7965,18961.229428052902,7,0.016205663,0.0,-0.016290601,0.25975597,-0.22,0.0053564874,0.9316134750843048
654.43,5300224,7970,19066.609429359436,5,0.017917544,0.0,-0.017863538,0.27014846,-0.1,0.0063875937,0.9369645118713379
656.59,5304320,7976,19076.689606189728,6,0.016556695,0.0,-0.015809936,0.2493415,0.0,0.0049056797,0.9408341720700264
656.09,5308416,7982,19085.986605405807,6,0.012513204,0.0,-0.016271446,0.24887191,0.05,0.006008942,0.9338188320398331
657.17,5312512,7988,19095.261642217636,6,0.015792686,0.0,-0.019026712,0.2568216,-0.03,0.006729943,0.9330651238560677
651.94,5316608,7994,19104.66463446617,6,0.015957685,0.0,-0.01820135,0.25688675,0.1,0.0057555498,0.929246798157692
651.47,5320704,8001,19114.294609308243,7,0.017611202,0.0,-0.020848574,0.25695673,0.14,0.0075765196,0.9429135620594025
647.84,5324800,8008,19123.575605392456,7,0.016231472,0.0,-0.018972594,0.25117847,-0.09,0.0060387617,0.94481236115098
656.56,5328896,8013,19132.88687491417,5,0.016417755,0.0,-0.016430637,0.26324105,-0.26,0.006221487,0.9454215951263905
659.48,5332992,8019,19142.165606737137,6,0.016307637,0.0,-0.017323768,0.24931683,-0.12,0.0065353964,0.9417849443852901
658.7,5337088,8026,19151.47684931755,7,0.019068584,0.0,-0.017022759,0.26271924,-0.33,0.0064992644,0.9347206428647041
660.65,5341184,8032,19160.763639688492,6,0.015976718,0.0,-0.01514828,0.24454062,-0.38,0.005267215,0.9422407932579517
663.21,5345280,8038,19170.13360595703,6,0.016964814,0.0,-0.016071292,0.23597679,-0.18,0.0053269807,0.9169261679053307
667.06,5349376,8044,19180.208620786667,6,0.013205447,0.0,-0.019397216,0.25193202,-0.01,0.00633739,0.9294398725032806
662.89,5353472,8050,19189.828621149063,6,0.017418407,0.0,-0.015770303,0.24774265,-0.02,0.0062840483,0.9350071772933006
