EpThisIter,EpisodesSoFar,EpLenMean,loss_kl,loss_ent,loss_pol_entpen,loss_vf_loss,EpRewMean,ev_tdlam_before,TimeElapsed,TimestepsSoFar,loss_pol_surr
5,21315,772.75,0.010114083,0.5841919,0.0,0.012778532,1.71,0.8642519563436508,54722.67617177963,14516224,-0.031367894
6,21321,775.91,0.010571717,0.60005444,0.0,0.018216357,1.72,0.8303038328886032,54729.7631714344,14520320,-0.03297516
5,21326,771.93,0.010486703,0.57595885,0.0,0.019333892,1.76,0.8398253619670868,54737.142172813416,14524416,-0.030456642
6,21332,765.87,0.010123287,0.5896803,0.0,0.023263333,1.9,0.788989707827568,54744.916172504425,14528512,-0.028897202
5,21337,767.13,0.010009995,0.58360624,0.0,0.023225086,1.91,0.7998930066823959,54752.71517276764,14532608,-0.030844314
5,21342,770.45,0.010346778,0.5911629,0.0,0.021279674,1.89,0.8101792633533478,54760.165172338486,14536704,-0.031013645
5,21347,771.3,0.01058468,0.5893764,0.0,0.017780866,1.94,0.818312481045723,54767.839173555374,14540800,-0.03048278
6,21353,765.59,0.009211803,0.5852539,0.0,0.018027112,1.86,0.8364914804697037,54775.40117263794,14544896,-0.027998034
5,21358,763.48,0.009307376,0.6017945,0.0,0.018304247,1.89,0.8480629473924637,54784.11117243767,14548992,-0.030926501
5,21363,768.1,0.010672952,0.60123116,0.0,0.018087601,1.91,0.8177643269300461,54793.39117312431,14553088,-0.030964373
6,21369,770.49,0.010721119,0.5732164,0.0,0.019444445,1.91,0.8674758970737457,54801.180173397064,14557184,-0.029518628
5,21374,775.77,0.010389451,0.5940579,0.0,0.01900793,1.88,0.809699684381485,54811.44117307663,14561280,-0.03126411
7,21381,759.2,0.010176398,0.56347054,0.0,0.015194824,2.04,0.8575998544692993,54821.07417345047,14565376,-0.027915915
4,21385,754.8,0.01017888,0.6149031,0.0,0.020695345,2.11,0.8445124924182892,54831.019173145294,14569472,-0.028301975
6,21391,753.24,0.010338867,0.57045263,0.0,0.015773872,2.12,0.8917759582400322,54840.51917243004,14573568,-0.0289003
6,21397,755.25,0.0103177335,0.5778178,0.0,0.016904252,2.05,0.8812355920672417,54849.766172885895,14577664,-0.02954676
6,21403,754.81,0.009819873,0.59058434,0.0,0.01577812,2.02,0.8985925763845444,54858.26517224312,14581760,-0.026914136
