EpLenMean,EpRewMean,loss_pol_surr,loss_kl,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_ent,loss_pol_entpen,TimestepsSoFar
3030.0,-0.31,-0.0048039802,0.0015257691,0.35310590267181396,1,1936,0.0004254328,34885.859560489655,0.99891514,0.0,2568192
3030.0,-0.31,-0.00843609,0.0026001758,0.39060431718826294,2,1938,0.0005286476,34889.895991802216,1.0048558,0.0,2572288
3030.0,-0.31,-0.009300546,0.0019874258,0.2655259966850281,1,1939,0.00091718545,34893.62808346748,1.0037533,0.0,2576384
3030.0,-0.33,-0.011604129,0.0026587332,0.5664232671260834,1,1940,0.005353129,34897.45563745499,1.0202107,0.0,2580480
3030.0,-0.36,-0.0078628175,0.0023136637,-0.1712254285812378,2,1942,0.0007248142,34901.19713759422,1.0389243,0.0,2584576
3030.0,-0.34,-0.007933916,0.0023564883,0.5906467139720917,1,1943,0.0021466503,34904.931513786316,0.9440219,0.0,2588672
3030.0,-0.36,-0.010676865,0.002373098,0.2674987316131592,1,1944,0.0017584224,34909.04744696617,0.9626158,0.0,2592768
3030.0,-0.38,-0.0069748648,0.0015337171,0.4869886636734009,2,1946,0.0014772476,34913.17969965935,1.0052739,0.0,2596864
3030.0,-0.37,-0.0072948616,0.0025348533,-2.046497344970703,1,1947,0.00018238477,36794.421238422394,0.95002824,0.0,2600960
3040.0,-0.39,-0.012176596,0.0022364021,-1.1393170356750488,1,1948,7.006873e-05,36798.41794466972,1.1061889,0.0,2605056
3030.0,-0.38,-0.010797805,0.0029367686,-1.5462322235107422,2,1950,4.3761524e-05,36802.29958343506,1.0659492,0.0,2609152
3030.0,-0.38,-0.010088143,0.0020948,-2.761342763900757,1,1951,3.3723663e-05,36806.24823689461,1.0899223,0.0,2613248
3030.0,-0.38,-0.00670572,0.0026817867,0.21931803226470947,1,1952,0.002057999,36810.322701931,1.0766572,0.0,2617344
3030.0,-0.39,-0.007722405,0.0027843253,-3.275763988494873,2,1954,7.718089e-05,36814.4549074173,1.0508599,0.0,2621440
3030.0,-0.39,-0.011039225,0.0024247072,-1.82120943069458,1,1955,3.877992e-05,36818.58203840256,1.0626172,0.0,2625536
3030.0,-0.37,-0.009379798,0.0025994834,0.555667370557785,1,1956,0.0012242323,36822.714594602585,1.0503902,0.0,2629632
3030.0,-0.41,-0.00732893,0.0027572347,-3.341470718383789,2,1958,7.831087e-05,36826.84806728363,1.0163785,0.0,2633728
