EpisodesSoFar,loss_vf_loss,EpLenMean,EpThisIter,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpRewMean
2495,0.0015233485,3030.0,2,0.003259725,0.0028619582,0.0,4833280,21963.598516464233,0.6720766723155975,0.6402714,-0.04
2496,0.0015720387,3030.0,1,0.00336282,0.0032778354,0.0,4837376,21972.645879507065,0.6174741387367249,0.6367173,-0.04
2497,0.0019969014,3030.0,1,0.002929361,0.003717591,0.0,4841472,21980.27360892296,0.6963429749011993,0.6252849,-0.05
2499,0.00012975403,3030.0,2,0.003115064,0.0050180433,0.0,4845568,21987.795649290085,-0.5000336170196533,0.63383293,-0.05
2500,0.001157957,3030.0,1,0.0031131841,0.0030259243,0.0,4849664,21995.335486888885,0.7163628935813904,0.6275763,-0.03
2501,0.005465488,3030.0,1,0.0029542542,0.0034832712,0.0,4853760,22002.70060110092,0.5446728765964508,0.6251276,-0.02
2503,0.004326945,3030.0,2,0.0027930017,0.003789024,0.0,4857856,22009.99617433548,0.6097173988819122,0.6219367,0.01
2504,0.002005612,3030.0,1,0.0034469303,0.004950353,0.0,4861952,22017.572301864624,0.3895578980445862,0.6242064,0.01
2506,0.0021272302,3030.0,2,0.0028405031,0.0039544804,0.0,4866048,22024.974830389023,0.18790286779403687,0.62297136,0.02
2507,0.004391765,3030.0,1,0.0026837215,0.0057065445,0.0,4870144,22032.55279803276,0.2413630485534668,0.6028556,-0.01
2508,0.0032669478,3030.0,1,0.003117775,0.004249649,0.0,4874240,22039.949615716934,0.41961371898651123,0.63148975,-0.01
2510,0.0004107492,3030.0,2,0.0027781855,0.0032034288,0.0,4878336,22047.65311026573,-1.1217925548553467,0.6182865,0.01
2511,0.0026446963,3030.0,1,0.0032028311,0.0021311147,0.0,4882432,22055.18038392067,0.5033265948295593,0.6373676,0.02
2512,0.0001350247,3030.0,1,0.0031289568,0.009123097,0.0,4886528,22064.18238377571,-0.23799490928649902,0.6458562,0.01
2514,0.0011627843,3030.0,2,0.0029943339,0.004356227,0.0,4890624,22071.868158578873,0.6515723168849945,0.64482516,0.02
2515,0.0024036134,3030.0,1,0.0032344172,0.002967565,0.0,4894720,22079.490628242493,0.20701777935028076,0.63208914,0.03
2516,0.0053273165,3030.0,1,0.0037326626,0.007791269,0.0,4898816,22086.857667922974,0.31081080436706543,0.63479054,0.02
2517,0.0037878524,3030.0,1,0.0034407205,0.0061438116,0.0,4902912,22430.021093845367,0.5913030803203583,0.6494707,0.0
2519,0.00021427283,3030.0,2,0.0031582464,0.0076268073,0.0,4907008,22437.423073530197,-0.24283123016357422,0.648971,0.0
2520,0.000104132574,3030.0,1,0.003297594,0.007852057,0.0,4911104,22445.019884109497,-0.3777552843093872,0.6399579,0.0
2522,3.746959e-05,3030.0,2,0.002851615,0.007597008,0.0,4915200,22452.58911395073,0.15299999713897705,0.64548445,0.0
2523,0.0014821498,3030.0,1,0.003223194,0.0022385,0.0,4919296,22459.91516470909,0.34328800439834595,0.6512253,0.03
2524,0.00013667508,3030.0,1,0.0030018638,0.0057377163,0.0,4923392,22467.31281709671,-1.3865001201629639,0.624455,0.04
2526,0.00036930485,3030.0,2,0.0030510866,0.0041195964,0.0,4927488,22474.672684192657,-1.732057809829712,0.6364609,0.03
2527,0.0012726277,3030.0,1,0.0035838166,0.0044025504,0.0,4931584,22482.004362344742,0.3614664673805237,0.66581905,0.02
2528,0.0015810704,3030.0,1,0.0032150077,0.0028804382,0.0,4935680,22489.516607522964,0.3835403323173523,0.6367645,0.01
2530,0.0010897542,3030.0,2,0.0029526905,0.005011429,0.0,4939776,22497.0315887928,0.7980405539274216,0.6126291,0.01
2531,0.006811269,3030.0,1,0.0037377388,0.005266904,0.0,4943872,22504.385091543198,0.5813652276992798,0.6405393,0.01
2532,7.5385724e-05,3030.0,1,0.0031910613,0.0075258184,0.0,4947968,22511.78094625473,-0.2815641164779663,0.6425584,0.01
2534,6.132387e-05,3030.0,2,0.0030845543,0.007822842,0.0,4952064,22519.16036915779,-0.4308727979660034,0.632269,0.0
2535,0.00016564566,3030.0,1,0.0031974846,0.005431503,0.0,4956160,22526.495805978775,-2.7029852867126465,0.6454094,0.0
2537,0.0013944991,3030.0,2,0.0031137604,0.005377946,0.0,4960256,22533.851639032364,0.7785504907369614,0.6392846,-0.02
2538,6.674653e-05,3030.0,1,0.003292526,0.0072947224,0.0,4964352,22541.39130473137,-0.7679803371429443,0.65138286,-0.03
2539,4.1185645e-05,3030.0,1,0.0034701885,0.00945928,0.0,4968448,22548.80422759056,-0.31275713443756104,0.65407246,-0.03
2541,2.7014634e-05,3030.0,2,0.0036007974,0.009083887,0.0,4972544,22556.241559267044,-0.35225844383239746,0.65894693,-0.01
2542,0.0011532289,3030.0,1,0.0029239664,0.0036787922,0.0,4976640,22563.67374420166,0.6732739508152008,0.63948125,-0.01
2543,0.002905656,3030.0,1,0.0033515738,0.005400955,0.0,4980736,22571.055768966675,0.6884108185768127,0.6474573,0.0
2545,0.0053172945,3030.0,2,0.0027196074,0.0028953128,0.0,4984832,22578.373492002487,0.555249810218811,0.6335373,0.0
2546,0.0015613093,3030.0,1,0.0033564325,0.0043716934,0.0,4988928,22585.802878141403,0.4091992974281311,0.6525254,0.0
2548,0.0020748065,3030.0,2,0.003276735,0.005198576,0.0,4993024,22593.38988494873,0.6667918562889099,0.65651846,-0.01
2549,0.0003535272,3030.0,1,0.003517621,0.0047580507,0.0,4997120,22601.093341588974,-3.1310534477233887,0.65903115,-0.01
2550,0.003199155,3030.0,1,0.0029619376,0.0039025485,0.0,5001216,22943.353655815125,0.6165741682052612,0.6347607,0.0
