loss_pol_surr,TimestepsSoFar,loss_kl,EpThisIter,EpLenMean,loss_pol_entpen,loss_ent,EpisodesSoFar,EpRewMean,TimeElapsed,loss_vf_loss,ev_tdlam_before
-0.037450876,13615104,0.022537764,2,2147.32,0.0,0.49384424,13477,0.65,21814.954342603683,0.009241011,0.7989999353885651
-0.03980339,13619200,0.024046602,1,2148.92,0.0,0.52839947,13478,0.63,21820.651693820953,0.008190662,0.6527481079101562
-0.042360496,13623296,0.0270415,3,2157.8,0.0,0.5335379,13481,0.46,21826.276926279068,0.0107601015,0.6628711223602295
-0.039614253,13627392,0.021820629,1,2150.14,0.0,0.54563856,13482,0.48,21832.298040390015,0.010147813,0.6908909976482391
-0.033943873,13631488,0.01909723,2,2152.26,0.0,0.51057345,13484,0.48,21838.131949663162,0.008972427,0.6248584687709808
-0.035629544,13635584,0.024211144,2,2168.71,0.0,0.5393252,13486,0.41,21844.42015028,0.010131602,0.7179272770881653
-0.035603616,13639680,0.02069935,1,2176.6,0.0,0.51839143,13487,0.39,21849.35281419754,0.008756822,0.7283888459205627
-0.039489318,13643776,0.021646274,2,2176.72,0.0,0.5129844,13489,0.38,21854.60159611702,0.0076890634,0.6399976909160614
-0.039966747,13647872,0.023928942,3,2183.47,0.0,0.5376371,13492,0.38,21859.44152188301,0.013414079,0.6401038467884064
-0.039983038,13651968,0.024937786,1,2190.74,0.0,0.543838,13493,0.39,21864.443161725998,0.00881654,0.6855003237724304
-0.033631545,13656064,0.021875784,2,2209.08,0.0,0.52448255,13495,0.45,21869.294654607773,0.008708088,0.6396352648735046
-0.039234295,13660160,0.024100613,1,2214.73,0.0,0.5332768,13496,0.43,21874.091083288193,0.009088022,0.5653750896453857
-0.04201973,13664256,0.022697799,3,2187.55,0.0,0.52501136,13499,0.52,21879.03018307686,0.0132828485,0.6988029778003693
-0.03849431,13668352,0.025130484,2,2182.38,0.0,0.51985323,13501,0.56,21885.25300192833,0.008919529,0.694049209356308
-0.034798138,13672448,0.022490306,2,2186.08,0.0,0.51570016,13503,0.58,21891.04489517212,0.009190184,0.7260921597480774
-0.038019612,13676544,0.019304967,2,2187.31,0.0,0.53145295,13505,0.55,21896.821328401566,0.007936391,0.7573866248130798
-0.03945892,13680640,0.02187157,1,2197.21,0.0,0.5367314,13506,0.55,21902.05411219597,0.009282727,0.6792736947536469
