EpisodesSoFar,loss_vf_loss,EpLenMean,EpThisIter,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpRewMean
1024,0.012673386,652.71,6,0.0059627774,-0.005674802,0.0,659456,1616.0041165351868,0.8385464400053024,0.73128396,-4.85
1030,0.00974196,656.74,6,0.007235072,-0.00537304,0.0,663552,1623.421083688736,0.8527263104915619,0.70554274,-4.85
1037,0.010593322,655.88,7,0.00579641,-0.0072438465,0.0,667648,1630.638750553131,0.8672109395265579,0.7184312,-4.83
1043,0.011032751,660.68,6,0.0070033846,-0.0070548323,0.0,671744,1637.9585981369019,0.873600497841835,0.6596572,-4.81
1049,0.011163916,659.27,6,0.005504452,-0.002885366,0.0,675840,1645.1876187324524,0.8669190257787704,0.6507673,-4.8
1055,0.014547965,665.3,6,0.00655445,-0.0049614394,0.0,679936,1652.426374912262,0.8437147587537766,0.66281265,-4.76
1061,0.014357895,666.21,6,0.0060629374,-0.0069312127,0.0,684032,1659.6246638298035,0.8641085028648376,0.6433315,-4.74
1068,0.011003267,662.97,7,0.006499991,-0.006182208,0.0,688128,1666.9482867717743,0.8825242295861244,0.6530834,-4.75
1074,0.010503606,670.97,6,0.0065268003,-0.0054019555,0.0,692224,1674.1767456531525,0.8565840274095535,0.6270328,-4.75
1080,0.009943839,660.59,6,0.0064372984,-0.0027679252,0.0,696320,1681.5994288921356,0.8706022650003433,0.61048687,-4.76
1086,0.008625746,658.35,6,0.006267919,-0.004638854,0.0,700416,1759.752540588379,0.8889869377017021,0.61292183,-4.76
1094,0.011964352,642.84,8,0.006265142,-0.0057092253,0.0,704512,1767.0802116394043,0.8570444881916046,0.612402,-4.76
1100,0.012368007,643.66,6,0.006329505,-0.005087405,0.0,708608,1774.3917784690857,0.8430280685424805,0.58033043,-4.75
1107,0.014813674,638.29,7,0.0060255956,-0.004802591,0.0,712704,1781.628767490387,0.8345811367034912,0.59744275,-4.74
1113,0.013095919,641.93,6,0.0060520507,-0.006589329,0.0,716800,1788.9482069015503,0.8737355172634125,0.56257564,-4.72
1120,0.009983412,644.11,7,0.006145395,-0.0037700767,0.0,720896,1796.1282496452332,0.8680515885353088,0.5798156,-4.73
1125,0.010218297,643.93,5,0.0061452617,-0.006086242,0.0,724992,1803.3400008678436,0.836409717798233,0.5748703,-4.75
