EpLenMean,TimestepsSoFar,loss_pol_surr,loss_kl,EpRewMean,loss_vf_loss,loss_pol_entpen,loss_ent,EpThisIter,TimeElapsed,ev_tdlam_before,EpisodesSoFar
2926.14,10113024,-0.022198858,0.012464322,0.92,0.0022385507,0.0,0.6388236,1,15160.513735294342,0.211065411567688,5500
2931.04,10117120,-0.023221657,0.01160956,0.89,0.0033376683,0.0,0.61014736,2,15165.808103561401,0.5562932789325714,5502
2931.04,10121216,-0.024639858,0.012929067,0.87,0.0022484704,0.0,0.60971844,1,15171.403274059296,0.5827530324459076,5503
2931.04,10125312,-0.026842676,0.017041149,0.85,0.0041487557,0.0,0.6085175,1,15176.587778568268,0.6779920160770416,5504
2931.04,10129408,-0.023173964,0.012575669,0.83,0.0018306165,0.0,0.62554777,2,15181.784878253937,0.6318003833293915,5506
2931.04,10133504,-0.025283553,0.014569998,0.8,0.0028293305,0.0,0.64060324,1,15187.003309249878,0.4490640163421631,5507
2931.04,10137600,-0.02532796,0.0113989385,0.81,0.0013403122,0.0,0.63622177,1,15192.514517307281,0.40619832277297974,5508
2931.04,10141696,-0.021662401,0.014999387,0.81,0.0045544305,0.0,0.6134175,2,15197.701456069946,0.5260915756225586,5510
2931.04,10145792,-0.02726892,0.013424356,0.78,0.0027125801,0.0,0.60693634,1,15202.893439531326,0.7082258760929108,5511
2929.61,10149888,-0.02407207,0.012069102,0.7,0.0037754802,0.0,0.60692644,2,15208.094807624817,0.7357869446277618,5513
2929.61,10153984,-0.02397129,0.013029184,0.72,0.0012342543,0.0,0.6120731,1,15213.436686515808,0.5554205477237701,5514
2915.94,10158080,-0.024091335,0.013469436,0.69,0.004553399,0.0,0.619386,2,15218.955373764038,0.6324164867401123,5516
2922.67,10162176,-0.025058988,0.011017738,0.63,0.0029556141,0.0,0.60945195,1,15224.378625392914,0.6534956991672516,5517
2925.76,10166272,-0.026171243,0.014655664,0.59,0.003605517,0.0,0.63169837,1,15229.54686999321,0.7306858897209167,5518
2925.76,10170368,-0.024282733,0.012180208,0.49,0.006199546,0.0,0.58039653,2,15234.720865249634,0.673801451921463,5520
2931.09,10174464,-0.027682807,0.012545037,0.52,0.0030042704,0.0,0.6033512,1,15240.128318548203,0.721282571554184,5521
2955.01,10178560,-0.02237768,0.0135912625,0.54,0.005930951,0.0,0.60518,2,15245.30476975441,0.4681001901626587,5523
2955.01,10182656,-0.023161931,0.012352347,0.58,0.0034068548,0.0,0.6020721,1,15250.486307382584,0.5483530759811401,5524
2955.01,10186752,-0.026893301,0.0115557695,0.58,0.003476735,0.0,0.6042893,1,15255.785032272339,0.578298032283783,5525
2955.01,10190848,-0.027366873,0.011121789,0.51,0.0028432347,0.0,0.62355226,2,15261.076687335968,0.6102433800697327,5527
2963.16,10194944,-0.02253405,0.0118082585,0.45,0.0048233196,0.0,0.61709875,1,15266.770393133163,0.5053439736366272,5528
2963.16,10199040,-0.024429448,0.01413922,0.43,0.004772821,0.0,0.5943884,1,15272.686105251312,0.6548197269439697,5529
2963.16,10203136,-0.023419347,0.011781876,0.37,0.0049807825,0.0,0.59780425,2,15278.60930967331,0.547376960515976,5531
2963.16,10207232,-0.025606971,0.012065974,0.38,0.0032120175,0.0,0.61468035,1,15283.960447788239,0.7080459296703339,5532
2960.04,10211328,-0.025391048,0.013563422,0.32,0.0051506883,0.0,0.6046644,2,15289.467643499374,0.6564684808254242,5534
2963.9,10215424,-0.026512139,0.012561891,0.28,0.004340398,0.0,0.6169854,1,15294.80877494812,0.38085687160491943,5535
2963.9,10219520,-0.026952904,0.013823373,0.23,0.0035688072,0.0,0.60955226,1,15299.993302106857,0.7334330976009369,5536
2966.61,10223616,-0.02870351,0.0128739355,0.2,0.0055922586,0.0,0.5978465,2,15305.204967021942,0.7419105470180511,5538
2966.61,10227712,-0.027750626,0.012358523,0.17,0.003654717,0.0,0.6178863,1,15310.478381633759,0.5296899676322937,5539
