fps,explained_variance,nupdates,value_loss,policy_entropy,total_timesteps,ep_reward_mean,ep_len_mean
675,0.9721358045935631,10500,1.2762613550876267e-05,2.064401149749756,52500,-4.752941176470588,613.4235294117647
674,-4.136661052703857,10600,0.0007343462784774601,2.043789863586426,53000,-4.755813953488372,613.0
674,-4.600776195526123,10700,0.000283989793388173,2.036682605743408,53500,-4.758620689655173,614.0229885057471
672,-8.33674430847168,10800,0.0008606805349700153,2.018450975418091,54000,-4.758620689655173,614.0229885057471
671,-1.4031462669372559,10900,0.00017706672952044755,2.056170701980591,54500,-4.761363636363637,614.6818181818181
670,-6.603941917419434,11000,0.0027041349094361067,2.0399582386016846,55000,-4.764044943820225,616.6516853932584
669,0.8445026874542236,11100,0.00013262352149467915,2.0098354816436768,55500,-4.764044943820225,616.6516853932584
668,-4.760512351989746,11200,0.0007987767457962036,2.0188510417938232,56000,-4.766666666666667,616.8111111111111
668,0.8830765038728714,11300,0.00012672864249907434,2.018393039703369,56500,-4.771739130434782,613.3913043478261
667,0.369331419467926,11400,0.0006884922040626407,2.066143751144409,57000,-4.771739130434782,613.3913043478261
667,0.9381808191537857,11500,5.9505699027795345e-05,2.0534074306488037,57500,-4.774193548387097,613.2258064516129
667,-16.829116821289062,11600,0.00176227034535259,2.043997049331665,58000,-4.776595744680851,613.1702127659574
667,-0.9159426689147949,11700,0.0002684988721739501,2.0088276863098145,58500,-4.778947368421052,613.0526315789474
667,0.418800413608551,11800,0.0001770784438122064,2.0231564044952393,59000,-4.770833333333333,614.0833333333334
667,0.6765466332435608,11900,3.599294723244384e-05,2.0604519844055176,59500,-4.770833333333333,614.0833333333334
667,0.5952110886573792,12000,0.00024381843104492873,2.0305845737457275,60000,-4.77319587628866,613.7628865979382
666,-2.9408812522888184,12100,0.0003196545294485986,2.0623562335968018,60500,-4.775510204081633,612.5918367346939
666,0.683212399482727,12200,1.25248598124017e-05,2.0559611320495605,61000,-4.767676767676767,614.8282828282828
666,-2.8476011753082275,12300,0.0004286196199245751,2.062957763671875,61500,-4.767676767676767,614.8282828282828
666,-9.239067077636719,12400,0.0004907238762825727,2.0510430335998535,62000,-4.77,615.52
666,-0.8051588535308838,12500,0.0007029789267107844,2.038093090057373,62500,-4.77,615.42
666,-187403.359375,12600,0.2763429284095764,2.0669121742248535,63000,-4.83,606.04
666,0.6935323774814606,12700,0.00023761326156090945,2.025916576385498,63500,-4.83,606.04
666,-5.277034759521484,12800,0.00028864128398709,2.0694751739501953,64000,-4.82,607.92
666,-21.42527961730957,12900,0.0005418788641691208,2.0589537620544434,64500,-4.82,608.19
666,-0.24260377883911133,13000,0.003773523960262537,2.0619468688964844,65000,-4.82,609.75
666,0.6592506468296051,13100,3.338659735163674e-05,2.0690224170684814,65500,-4.82,610.44
666,-87.93843078613281,13200,0.009718036279082298,2.0656936168670654,66000,-4.82,607.73
666,-41.442935943603516,13300,1.3792954683303833,2.0386910438537598,66500,-4.82,607.73
666,-1.7009568214416504,13400,4.188201273791492e-05,2.059630870819092,67000,-4.82,609.61
665,-0.37760233879089355,13500,0.0004403746279422194,2.0651156902313232,67500,-4.82,607.94
666,0.860401064157486,13600,6.38777346466668e-05,2.0606980323791504,68000,-4.82,606.28
667,-9.931853294372559,13700,0.00019528125994838774,2.0571630001068115,68500,-4.82,606.35
669,-3.2351746559143066,13800,0.00022592535242438316,2.060756206512451,69000,-4.82,605.03
669,-0.5553853511810303,13900,4.67800309706945e-05,2.0631046295166016,69500,-4.82,607.05
670,0.6026056110858917,14000,0.9304571151733398,2.045640230178833,70000,-4.82,607.05
671,-29.7694034576416,14100,0.0016193020856007934,2.0380682945251465,70500,-4.82,610.08
673,0.3734206557273865,14200,0.0002345980319660157,2.0598878860473633,71000,-4.82,611.86
674,-0.9321436882019043,14300,0.00020837942429352552,2.046537160873413,71500,-4.82,611.64
676,-3.010228157043457,14400,0.001979408785700798,2.062983989715576,72000,-4.82,611.64
677,-1.4844982624053955,14500,0.0002751935680862516,2.0241663455963135,72500,-4.82,611.96
679,-32.93944549560547,14600,0.0033532592933624983,2.063373565673828,73000,-4.82,613.17
680,-1.0801169872283936,14700,0.0006499831797555089,2.0690178871154785,73500,-4.82,613.61
681,-0.8809475898742676,14800,0.0003847580519504845,2.04616117477417,74000,-4.83,613.11
683,-0.7106754779815674,14900,0.000502470531500876,2.062584400177002,74500,-4.83,613.11
684,-1.4658548831939697,15000,0.0007079624338075519,2.0389561653137207,75000,-4.83,614.88
685,-1.879063367843628,15100,0.0013098760973662138,2.067307710647583,75500,-4.83,609.38
686,-2.2833547592163086,15200,0.00024872153881005943,2.0697379112243652,76000,-4.83,609.38
688,-7.7114105224609375,15300,0.0005146943731233478,2.0534915924072266,76500,-4.83,610.37
688,-0.6578935384750366,15400,0.00332859018817544,2.071634292602539,77000,-4.83,609.13
689,-1.0085151195526123,15500,0.00042013305937871337,2.0522613525390625,77500,-4.82,611.22
688,0.7972268313169479,15600,0.00037002371391281486,2.032963275909424,78000,-4.83,611.9
688,-1.7865688800811768,15700,0.0006431600777432323,2.051079511642456,78500,-4.83,610.92
688,-23.563661575317383,15800,0.047911860048770905,2.0704638957977295,79000,-4.83,610.92
687,0.6894815862178802,15900,0.000493367260787636,2.065377950668335,79500,-4.83,610.98
688,0.6058314442634583,16000,7.135861778806429e-06,2.0742156505584717,80000,-4.83,609.07
688,-9.291379928588867,16100,6.191777356434613e-05,2.0764732360839844,80500,-4.83,609.18
687,-16.794261932373047,16200,0.00033693548175506294,2.05234432220459,81000,-4.83,610.03
687,0.5854234099388123,16300,0.00030229223193600774,2.070251703262329,81500,-4.83,610.03
687,-3.483389377593994,16400,0.001947701908648014,2.074974536895752,82000,-4.83,611.88
687,-3.336902141571045,16500,4.403559796628542e-05,2.0727412700653076,82500,-4.83,609.66
687,0.43895959854125977,16600,2.5324992748210207e-05,2.068286180496216,83000,-4.83,604.24
