loss_kl,loss_pol_surr,TimestepsSoFar,loss_ent,ev_tdlam_before,EpisodesSoFar,loss_pol_entpen,loss_vf_loss,TimeElapsed,EpThisIter,EpLenMean,EpRewMean
0.0034381638,-0.0107799135,3418368,1.2968255,-3.0904083251953125,3566,-0.012968255,0.0003493797,3788.9020318984985,0,2963.72,27.837200000001655
0.00026771214,-0.0027116463,3418624,0.9290458,-2.218594789505005,3566,-0.009290458,0.0005642425,3789.213030576706,0,2963.72,27.837200000001655
0.001526617,-0.004515618,3418880,1.2057763,-10.612224578857422,3566,-0.012057763,0.00026370128,3789.458030462265,0,2963.72,27.837200000001655
0.0019444625,-0.0069708377,3419136,1.2263372,0.04989248514175415,3567,-0.012263373,0.027430385,3789.728030204773,1,2963.72,27.847200000001656
0.0010673363,-0.005534617,3419392,1.1767473,0.4717339277267456,3567,-0.011767473,0.01988686,3790.0540754795074,0,2963.72,27.847200000001656
0.0098797735,-0.0045625605,3419648,1.1385591,0.6523546278476715,3567,-0.01138559,0.020105697,3790.2924110889435,0,2963.72,27.847200000001656
0.0040564723,-0.008449703,3419904,1.3834486,0.31187039613723755,3567,-0.013834486,0.024036955,3790.496075630188,0,2963.72,27.847200000001656
0.0046489355,-0.0053577274,3420160,1.284447,-11.982220649719238,3567,-0.012844469,0.0014479866,3790.715077161789,0,2963.72,27.847200000001656
0.002043662,-0.0057538617,3420416,0.94992614,-2.4430792331695557,3567,-0.009499261,0.00026539492,3790.9280757904053,0,2963.72,27.847200000001656
0.0042319605,-0.007913837,3420672,1.349793,-1.1148681640625,3567,-0.013497931,0.00090378086,3791.144051551819,0,2963.72,27.847200000001656
0.0017945878,-0.0085371155,3420928,1.3293436,-2.9950077533721924,3567,-0.013293435,0.0013948913,3791.3519427776337,0,2963.72,27.847200000001656
0.0015356508,-0.004971629,3421184,1.3759253,-7.601336479187012,3567,-0.013759252,0.000423979,3791.5619814395905,0,2963.72,27.847200000001656
0.001740315,-0.010546397,3421440,1.2180537,-0.8625314235687256,3567,-0.012180537,4.1718704e-05,3791.775957584381,0,2963.72,27.847200000001656
0.0023775762,-0.00963977,3421696,1.2710919,-5.84097146987915,3567,-0.012710919,0.0003220322,3791.983862876892,0,2963.72,27.847200000001656
0.0026540507,-0.007042732,3421952,1.4870448,-3.3785243034362793,3567,-0.014870447,0.00019476672,3792.21582698822,0,2963.72,27.847200000001656
0.0013184672,-0.009948039,3422208,1.2370348,0.0234796404838562,3568,-0.012370349,0.025365366,3792.5138306617737,1,2963.72,27.837200000001655
0.0014126082,-0.0114518665,3422464,1.348977,-1.120147705078125,3568,-0.013489769,0.0003651995,3792.737828016281,0,2963.72,27.837200000001655
0.0041382355,-0.009835642,3422720,1.330247,-3.0105910301208496,3568,-0.01330247,0.00023633755,3792.986827850342,0,2963.72,27.837200000001655
0.0035368332,-0.013491288,3422976,1.2947928,-0.6796692609786987,3568,-0.012947928,9.127264e-05,3793.2298278808594,0,2963.72,27.837200000001655
0.005754245,-0.012731157,3423232,1.3012266,-2.716670513153076,3568,-0.013012266,0.000121767116,3793.4808292388916,0,2963.72,27.837200000001655
0.0021992635,-0.003539309,3423488,1.0881975,-2.0989410877227783,3568,-0.010881973,0.00070469023,3793.756902217865,0,2963.72,27.837200000001655
0.0009776306,-0.0074166656,3423744,1.3350502,0.01615917682647705,3568,-0.013350502,8.293211e-05,3794.062294483185,0,2963.72,27.837200000001655
0.0014358663,-0.011788912,3424000,1.1549841,-2.333930015563965,3568,-0.011549841,0.0002852879,3794.4622943401337,0,2963.72,27.837200000001655
0.002523818,-0.009091273,3424256,1.1499946,-4.4837188720703125,3568,-0.011499945,6.0395258e-05,3795.005295276642,0,2963.72,27.837200000001655
0.0017811528,-0.0057186,3424512,1.1256107,-1.394195556640625,3568,-0.011256107,0.00022113384,3795.3042919635773,0,2963.72,27.837200000001655
0.0016272401,-0.0070817918,3424768,1.3803728,-2.011575698852539,3568,-0.013803728,0.00038528614,3795.5752906799316,0,2963.72,27.837200000001655
0.0014769356,-0.008146454,3425024,1.1857562,-7.5218963623046875,3568,-0.011857563,6.066531e-05,3795.8412907123566,0,2963.72,27.837200000001655
0.0023128903,-0.012157045,3425280,1.2096307,-0.007306456565856934,3569,-0.012096307,0.027322982,3796.055291891098,1,2963.72,27.857200000001654
0.0016977465,-0.008776779,3425536,1.1712327,0.6108578741550446,3569,-0.011712326,0.014616222,3796.252290725708,0,2963.72,27.857200000001654
0.0011572834,-0.00914027,3425792,1.1317154,-0.7480058670043945,3569,-0.011317154,0.0004250927,3796.4443278312683,0,2963.72,27.857200000001654
0.0014457102,-0.010148324,3426048,1.2244489,0.4841424226760864,3569,-0.012244488,0.00013577637,3796.6353256702423,0,2963.72,27.857200000001654
0.0011996693,-0.004107857,3426304,1.1420847,-5.046490669250488,3569,-0.011420847,0.00066630304,3796.824331521988,0,2963.72,27.857200000001654
0.0010761067,-0.007636752,3426560,1.1428072,0.3578736186027527,3569,-0.011428071,0.016244952,3797.00932598114,0,2963.72,27.857200000001654
0.0036597666,-0.00595852,3426816,1.0904795,0.6773737072944641,3569,-0.010904795,0.0062159216,3797.1913256645203,0,2963.72,27.857200000001654
0.0013537853,-0.007789921,3427072,1.1155288,-2.540400505065918,3569,-0.011155289,0.0018138674,3797.388291120529,0,2963.72,27.857200000001654
0.006334147,-0.012414718,3427328,1.1021005,-1.2390363216400146,3569,-0.011021005,0.00029269973,3797.5762898921967,0,2963.72,27.857200000001654
0.0017246084,-0.0052171294,3427584,1.0316782,-7.164752960205078,3569,-0.010316783,0.00019972137,3797.76832652092,0,2963.72,27.857200000001654
0.0021139826,-0.0098348595,3427840,1.2402256,-1.9097230434417725,3569,-0.012402255,7.995214e-05,3797.955289363861,0,2963.72,27.857200000001654
0.002741991,-0.00767953,3428096,1.2967068,-3.2761611938476562,3569,-0.012967068,0.00012565532,3798.147324323654,0,2963.72,27.857200000001654
0.00060336204,-0.007177811,3428352,1.2390177,0.5361859202384949,3570,-0.012390178,0.02874412,3798.3462896347046,1,2963.72,27.827200000001653
0.0017934294,-0.006453622,3428608,1.1753187,-1.832031011581421,3570,-0.011753186,0.0011117357,3798.5542929172516,0,2963.72,27.827200000001653
0.002404095,-0.008831652,3428864,1.267169,-1.100412368774414,3570,-0.012671689,0.00014138255,3798.769327402115,0,2963.72,27.827200000001653
0.0046843057,-0.008839773,3429120,1.1875061,-1.9177672863006592,3570,-0.01187506,7.527723e-05,3798.967327594757,0,2963.72,27.827200000001653
0.0039002993,-0.009785585,3429376,1.281749,-3.851973533630371,3570,-0.012817489,0.0001542858,3799.1623311042786,0,2963.72,27.827200000001653
0.0015051082,-0.0074825604,3429632,1.1599079,-0.12977373600006104,3570,-0.01159908,0.00010367064,3799.36128950119,0,2963.72,27.827200000001653
0.0010813196,-0.0046225935,3429888,1.161811,-5.345869541168213,3570,-0.011618109,0.00053359487,3799.5904970169067,0,2963.72,27.827200000001653
0.0032240017,-0.003424258,3430144,1.1273692,-4.046562671661377,3570,-0.011273692,0.00027906653,3799.8023252487183,0,2963.72,27.827200000001653
0.0018955632,-0.007884761,3430400,1.1457999,-1.4044382572174072,3570,-0.011457998,0.000117452415,3799.9963250160217,0,2963.72,27.827200000001653
0.0012868703,-0.0061246115,3430656,1.0930094,0.647846907377243,3570,-0.010930093,0.0059641614,3800.188290834427,0,2963.72,27.827200000001653
0.0023574904,-0.009687196,3430912,1.1094431,-0.9169707298278809,3570,-0.01109443,0.00029463976,3800.3802902698517,0,2963.72,27.827200000001653
0.0029538625,-0.009397862,3431168,1.1090231,-0.25732648372650146,3571,-0.01109023,0.024046194,3800.574325799942,1,2963.72,27.81720000000165
0.0013659938,-0.0088748,3431424,0.9663777,-2.00924015045166,3571,-0.009663777,0.0005986529,3800.7713260650635,0,2963.72,27.81720000000165
0.0011841225,-0.009931289,3431680,1.2625937,-0.9089760780334473,3571,-0.012625938,9.2912924e-05,3800.9623279571533,0,2963.72,27.81720000000165
0.0033000307,-0.008308385,3431936,1.1337676,-0.48015308380126953,3571,-0.011337676,5.2821786e-05,3801.1512908935547,0,2963.72,27.81720000000165
0.0018332732,-0.00847017,3432192,1.110322,-0.5918785333633423,3571,-0.01110322,9.406296e-05,3801.3392901420593,0,2963.72,27.81720000000165
0.0016940122,-0.01029985,3432448,1.1803697,0.6023968756198883,3571,-0.011803697,0.00047968375,3801.528326034546,0,2963.72,27.81720000000165
0.0013847826,-0.0021949895,3432704,0.9428029,-2.098951816558838,3571,-0.009428029,0.0018797795,3801.7173244953156,0,2963.72,27.81720000000165
0.0014531338,-0.010084998,3432960,1.1748955,-1.4819271564483643,3571,-0.011748955,4.9937917e-05,3801.905339717865,0,2963.72,27.81720000000165
0.0026972222,-0.012976555,3433216,1.1257256,-0.011357665061950684,3571,-0.011257255,4.2927993e-05,3802.0963249206543,0,2963.72,27.81720000000165
0.0021095572,-0.010517905,3433472,1.1676037,0.561520516872406,3571,-0.011676038,0.014686467,3802.285327911377,0,2963.72,27.81720000000165
