loss_pol_entpen,EpLenMean,loss_kl,EpisodesSoFar,EpRewMean,ev_tdlam_before,TimestepsSoFar,loss_vf_loss,TimeElapsed,loss_pol_surr,loss_ent,EpThisIter
0.0,3014.65,0.0042673466,1680,-1.58,0.43311309814453125,1953792,0.0014208776,2220.2703506946564,-0.003331288,0.5809223,1
0.0,3014.65,0.0042532915,1682,-1.53,0.273052453994751,1957888,0.0025747877,2224.7474060058594,-0.004402231,0.6143521,2
0.0,3014.65,0.0033999374,1683,-1.52,0.160902738571167,1961984,0.0013552145,2229.3322279453278,-0.0018409123,0.61438745,1
0.0,3014.65,0.0038807623,1685,-1.56,0.4412686228752136,1966080,0.0026054797,2233.8600821495056,-0.004872041,0.63387847,2
0.0,3014.65,0.004420763,1686,-1.57,0.2916114926338196,1970176,0.0023256072,2238.4059875011444,-0.002410021,0.69398504,1
0.0,3017.97,0.0039948467,1687,-1.51,0.46313703060150146,1974272,0.0008538444,2242.860985517502,-0.0022577876,0.67190945,1
0.0,3017.97,0.004885664,1689,-1.45,-2.0071372985839844,1978368,0.0001679136,2247.546860933304,-0.0048803897,0.65810394,2
0.0,3017.97,0.0045174886,1690,-1.43,0.4520374536514282,1982464,0.002961961,2252.0690021514893,-0.0026641658,0.7008079,1
0.0,3017.97,0.0040742694,1691,-1.42,0.44681644439697266,1986560,0.004120828,2256.6337695121765,-0.0020771357,0.53251505,1
0.0,3017.97,0.0041411985,1693,-1.41,0.025570213794708252,1990656,0.0020828594,2261.140798807144,-0.0028681662,0.6469375,2
0.0,3017.97,0.002987776,1694,-1.39,0.4109286665916443,1994752,0.0018659311,2265.5797493457794,-0.0025912912,0.54772186,1
0.0,3017.97,0.004740137,1695,-1.42,0.4202263355255127,1998848,0.003292317,2270.086450099945,-0.0023796295,0.75377667,1
0.0,3016.67,0.006880951,1697,-1.45,0.4991294741630554,2002944,0.010603769,2287.8564178943634,-0.006431941,0.5939812,2
0.0,3016.67,0.004662621,1698,-1.43,0.49805551767349243,2007040,0.00333196,2292.3159523010254,-0.0026244572,0.7300084,1
0.0,3016.67,0.0043215593,1700,-1.45,0.37878865003585815,2011136,0.004358632,2296.653951883316,-0.0038237616,0.62304634,2
0.0,3016.67,0.0045855627,1701,-1.43,0.6050415933132172,2015232,0.0045118565,2301.274952173233,-0.0026261061,0.683956,1
0.0,3016.67,0.004042446,1702,-1.42,0.6627773344516754,2019328,0.0037075293,2305.8549523353577,-0.0034126127,0.65030915,1
0.0,3016.67,0.0045881774,1704,-1.38,0.3697047829627991,2023424,0.00082845683,2310.513952255249,-0.002850533,0.7349367,2
0.0,3016.67,0.0042793103,1705,-1.35,0.01190805435180664,2027520,0.00078980933,2315.087951183319,-0.0012427415,0.6232019,1
0.0,3016.67,0.005917433,1706,-1.33,0.22248554229736328,2031616,0.0039729234,2319.739951133728,-0.007434641,0.6635965,1
0.0,3021.53,0.0050533526,1708,-1.3,0.47496527433395386,2035712,0.0025489058,2324.264951467514,-0.004924192,0.6205648,2
0.0,3021.53,0.0041270084,1709,-1.29,0.5211355686187744,2039808,0.0051594465,2328.762951850891,-0.0037269013,0.59970224,1
0.0,3019.29,0.0046930755,1711,-1.29,0.4755685329437256,2043904,0.00790515,2333.3609533309937,-0.0017150687,0.6294543,2
0.0,3019.29,0.002856353,1712,-1.28,0.5103640556335449,2048000,0.0013363655,2337.835952281952,-0.0022865967,0.59865767,1
0.0,3019.29,0.0035263554,1713,-1.26,-0.5748510360717773,2052096,0.0005819,2342.47096657753,-0.002480633,0.59456706,1
0.0,2995.74,0.004439769,1715,-1.22,0.47701495885849,2056192,0.0013259286,2347.0449542999268,-0.003896479,0.6193311,2
0.0,2995.74,0.0025056058,1716,-1.22,0.44177740812301636,2060288,0.001233944,2351.577810049057,-0.0011941611,0.6091757,1
0.0,2995.74,0.004819865,1717,-1.21,0.34450405836105347,2064384,0.004374132,2356.125808954239,-0.0037175976,0.55722547,1
0.0,2995.74,0.0042462605,1719,-1.23,0.5636637210845947,2068480,0.002848197,2360.6728079319,-0.003127416,0.64768326,2
0.0,2995.74,0.0041270717,1720,-1.21,0.5437066853046417,2072576,0.0038246652,2365.287810564041,-0.003511541,0.6244112,1
0.0,2995.74,0.0040316023,1722,-1.27,0.46889573335647583,2076672,0.00505628,2369.7796788215637,-0.0044846474,0.64361596,2
0.0,2995.74,0.003319093,1723,-1.27,0.5039851665496826,2080768,0.0048865327,2374.416679620743,-0.0035571093,0.6397403,1
0.0,2995.74,0.0034809534,1724,-1.25,0.38283902406692505,2084864,0.0015902239,2379.038560628891,-0.0033101465,0.615584,1
0.0,2995.74,0.0032619764,1726,-1.21,0.5111002027988434,2088960,0.0013042475,2383.3825607299805,-0.0015333401,0.6252574,2
0.0,2995.74,0.004355968,1727,-1.2,0.1055300235748291,2093056,0.0014538573,2387.83580327034,-0.0037234223,0.6812948,1
0.0,2995.74,0.0033808788,1728,-1.19,0.5907509028911591,2097152,0.0007278108,2392.3234000205994,-0.0022446017,0.658753,1
0.0,2995.74,0.0046331286,1730,-1.14,0.3004453182220459,2101248,0.0005923239,2396.676624059677,-0.0013015615,0.7129203,2
0.0,2995.74,0.0048840013,1731,-1.12,0.5072853863239288,2105344,0.005328857,2401.167492389679,-0.0042816647,0.59507674,1
0.0,2995.74,0.004231504,1732,-1.16,-2.2000441551208496,2109440,0.0002619121,2405.817545413971,-0.004964645,0.5944494,1
0.0,2996.46,0.007232284,1734,-1.1,0.0495988130569458,2113536,0.004483445,2410.506545305252,-0.0054197013,0.69594145,2
0.0,2996.46,0.0036091981,1735,-1.15,0.4755074977874756,2117632,0.00845183,2415.068577528,-0.0041220738,0.66212195,1
