loss_vf_loss,EpThisIter,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,EpRewMean,loss_kl,loss_ent,TimestepsSoFar,TimeElapsed,loss_pol_surr,EpLenMean
0.00023199675,1,19097,0.0,-3.094788074493408,0.44,0.0031161983,0.55563545,33071104,102239.16822433472,-0.00736636,3010.0
0.0019200677,2,19099,0.0,0.066211998462677,0.45,0.0022896596,0.540943,33075200,102250.09795594215,-0.0052395673,3010.0
0.0023578967,1,19100,0.0,0.009066760540008545,0.42,0.0030595749,0.54191875,33079296,102261.47820448875,-0.0059575923,3010.0
0.0027879977,1,19101,0.0,0.14989149570465088,0.41,0.0026373733,0.5463956,33083392,102273.385481596,-0.007101925,3010.0
0.0049130223,2,19103,0.0,0.38108181953430176,0.38,0.0025401206,0.53130496,33087488,102285.23177194595,-0.00577779,3010.0
0.00020419052,1,19104,0.0,-3.659430503845215,0.35,0.0026661027,0.53334457,33091584,102296.41878271103,-0.006220947,3010.0
1.4149297e-05,1,19105,0.0,-0.9637743234634399,0.33,0.0036040726,0.5444862,33095680,102308.44853067398,-0.009894716,3010.0
0.0017093688,2,19107,0.0,0.15378648042678833,0.35,0.0020128093,0.55331206,33099776,102320.00686144829,-0.003531679,3010.0
0.001993348,1,19108,0.0,0.005448639392852783,0.35,0.0019696013,0.52684855,33103872,102331.80489182472,-0.00410838,3010.0
0.0023884033,1,19109,0.0,0.3183745741844177,0.34,0.0022898405,0.5476533,33107968,102343.54261612892,-0.0059503745,3010.0
0.0020246562,2,19111,0.0,0.5800379514694214,0.33,0.0031100968,0.53277963,33112064,102354.4912018776,-0.0070601245,3010.0
0.0027608785,1,19112,0.0,0.5061584115028381,0.34,0.0021763486,0.5458448,33116160,102365.53863167763,-0.0065413928,3010.0
0.0021841878,2,19114,0.0,0.30205661058425903,0.31,0.0024631799,0.5555017,33120256,102376.5395450592,-0.006800772,3010.0
0.0048092986,1,19115,0.0,0.6110570430755615,0.31,0.0029711726,0.5387969,33124352,102388.24383878708,-0.007065602,3010.0
0.0013316731,1,19116,0.0,-0.009740829467773438,0.28,0.0024279207,0.53103167,33128448,102399.89078903198,-0.006041277,3010.0
7.3348085e-05,2,19118,0.0,-0.39590609073638916,0.25,0.0030077256,0.53158766,33132544,102411.38671898842,-0.00915456,3010.0
0.006047296,1,19119,0.0,0.4329485297203064,0.25,0.0029715498,0.5553496,33136640,102422.6101269722,-0.007663048,3010.0
0.004711741,1,19120,0.0,0.14667916297912598,0.21,0.002187317,0.5362022,33140736,102433.61629033089,-0.005634278,3010.0
0.00013910816,2,19122,0.0,-0.22173631191253662,0.21,0.0024848408,0.5453264,33144832,102444.62352514267,-0.0075540007,3010.0
8.79612e-05,1,19123,0.0,-0.09964311122894287,0.21,0.0033803587,0.519381,33148928,102455.5616030693,-0.010236789,3010.0
0.0014371647,2,19125,0.0,0.7472296953201294,0.24,0.0020395457,0.5280041,33153024,102466.49758577347,-0.0047884393,3010.0
0.00039600703,1,19126,0.0,0.4328269362449646,0.24,0.0023001684,0.53947693,33157120,102477.48641777039,-0.005824066,3010.0
0.004135843,1,19127,0.0,0.20310527086257935,0.26,0.0036984568,0.546198,33161216,102488.45975089073,-0.006964379,3010.0
0.00014317989,2,19129,0.0,-1.5716650485992432,0.25,0.0025221247,0.54576105,33165312,102499.60683274269,-0.0072308592,3010.0
0.0029952305,1,19130,0.0,0.30813270807266235,0.25,0.00298724,0.5474812,33169408,102511.4498360157,-0.0061479863,3010.0
0.0015414258,1,19131,0.0,0.152563214302063,0.28,0.002467716,0.5580735,33173504,102522.94486522675,-0.0065394826,3010.0
0.0019670683,2,19133,0.0,0.18950539827346802,0.27,0.0028192766,0.51378363,33177600,102533.92702579498,-0.0075744237,3010.0
0.00012690951,1,19134,0.0,-0.8175768852233887,0.28,0.0031039265,0.55189514,33181696,102545.09272193909,-0.008464775,3010.0
2.9199398e-05,1,19135,0.0,-0.636857271194458,0.26,0.0032820962,0.5466834,33185792,102556.13686537743,-0.008901832,3010.0
3.2944845e-05,2,19137,0.0,-5.3145599365234375,0.26,0.0020850557,0.53565615,33189888,102567.2244155407,-0.0045282114,3010.0
7.744773e-06,1,19138,0.0,-1.3005101680755615,0.26,0.003734715,0.5461062,33193984,102579.01822853088,-0.008827691,3010.0
5.232117e-06,2,19140,0.0,-4.780518054962158,0.24,0.0025006519,0.5273999,33198080,102590.71544647217,-0.0062788185,3010.0
4.4094495e-06,1,19141,0.0,-8.50054931640625,0.24,0.0023249188,0.52970284,33202176,102601.73393535614,-0.005025451,3010.0
0.0020562753,1,19142,0.0,0.09890991449356079,0.24,0.0020331843,0.5418975,33206272,102612.71596336365,-0.004387247,3010.0
0.0011935715,2,19144,0.0,0.6165849268436432,0.26,0.0018958523,0.5279939,33210368,102623.68568658829,-0.005120627,3010.0
0.00038489475,1,19145,0.0,0.2980407476425171,0.27,0.0023749783,0.5369016,33214464,102634.76737904549,-0.0046433434,3010.0
0.0022613488,1,19146,0.0,-0.04491555690765381,0.23,0.0026536689,0.5474028,33218560,102645.66781687737,-0.0062011844,3010.0
2.005784e-06,2,19148,0.0,-4.622859477996826,0.2,0.002585598,0.5236002,33222656,102656.86902117729,-0.004766437,3010.0
0.0015254137,1,19149,0.0,0.47604918479919434,0.19,0.0030263124,0.5472144,33226752,102668.30002140999,-0.004516926,3010.0
0.0013464263,1,19150,0.0,0.2861301302909851,0.18,0.0034109247,0.5416832,33230848,102679.22059202194,-0.0060417997,3010.0
1.6226059e-05,2,19152,0.0,-23.113319396972656,0.17,0.0017073757,0.5351644,33234944,102690.2172999382,-0.0028005862,3010.0
0.0018374347,1,19153,0.0,0.3061841130256653,0.17,0.0020681135,0.55399543,33239040,102701.16578292847,-0.004568341,3010.0
4.773116e-06,2,19155,0.0,-15.353822708129883,0.14,0.0018607998,0.53717244,33243136,102712.89565229416,-0.0032524879,3010.0
8.301533e-06,1,19156,0.0,-4.145137310028076,0.14,0.003342599,0.5280299,33247232,102724.23527002335,-0.007072982,3010.0
1.5482751e-06,1,19157,0.0,-2.6522037982940674,0.12,0.0038796964,0.5342867,33251328,102735.90628552437,-0.010992213,3010.0
0.002035949,2,19159,0.0,0.11998963356018066,0.08,0.0018371282,0.53422654,33255424,102747.12136435509,-0.0047517493,3010.0
0.0009524277,1,19160,0.0,0.11541491746902466,0.06,0.0019523953,0.545891,33259520,102757.9883069992,-0.0048716315,3010.0
0.0020128363,1,19161,0.0,0.49512767791748047,0.05,0.003761338,0.5144292,33263616,102768.9773812294,-0.0058381977,3010.0
0.0011315034,2,19163,0.0,0.42769014835357666,0.04,0.0027351202,0.5569981,33267712,102779.85004711151,-0.005585708,3010.0
0.0009916369,1,19164,0.0,0.18726259469985962,0.03,0.0027221816,0.52302593,33271808,102790.72546195984,-0.006911588,3010.0
0.00023353091,1,19165,0.0,-2.7166969776153564,0.01,0.003733322,0.5118444,33275904,102801.7526230812,-0.004593997,3010.0
1.2015442e-05,2,19167,0.0,-1.0135955810546875,0.02,0.0030946943,0.54975575,33280000,102812.86370134354,-0.0064005717,3010.0
0.0027140025,1,19168,0.0,0.5579233169555664,0.01,0.003716984,0.51542735,33284096,102824.47471165657,-0.005412759,3010.0
0.0013693641,2,19170,0.0,0.0908089280128479,0.03,0.002664382,0.5230134,33288192,102836.10228991508,-0.0051074587,3010.0
0.0014373073,1,19171,0.0,0.2914832830429077,0.02,0.0020482505,0.54609495,33292288,102847.8168246746,-0.005383698,3010.0
